epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
57,2827.06,0.88036,1.7253,0.9395,0.0099,0.60305,0.78751,0.69676,0.77117,0.60939,0.69463,0.60633,0.64051,0.4538,1.00351,1.57497,0.84511,0.01591,0,0.000185815,0.000185815,0.000185815
58,2874.97,0.90826,1.81238,0.94558,0.00973,0.63797,0.7631,0.7144,0.76585,0.59941,0.66526,0.60885,0.61601,0.42456,0.99225,1.69935,0.85257,0.01601,0,0.000181687,0.000181687,0.000181687
59,2919.51,0.90102,1.81747,0.95952,0.01018,0.61448,0.78842,0.70738,0.76563,0.60034,0.73402,0.59834,0.63582,0.45064,1.01177,1.60062,0.80764,0.01609,0,0.000177559,0.000177559,0.000177559
60,2966.64,0.94181,1.90431,1.0135,0.01039,0.70401,0.80731,0.70778,0.76178,0.60132,0.69873,0.61205,0.62385,0.43762,1.00457,1.61714,0.84632,0.01588,0,0.00017343,0.00017343,0.00017343
61,3014.58,0.87939,1.7276,0.90702,0.01012,0.64821,0.78949,0.71966,0.77796,0.6165,0.69732,0.61238,0.63563,0.45849,0.95823,1.56911,0.77006,0.01434,0,0.000169302,0.000169302,0.000169302
62,3061.21,0.8841,1.72652,0.91225,0.00997,0.60422,0.76781,0.69415,0.77141,0.61137,0.66927,0.58132,0.6294,0.44988,0.96646,1.57985,0.78302,0.01459,0,0.000165174,0.000165174,0.000165174
63,3111.23,0.89078,1.74248,0.88879,0.00972,0.61713,0.84299,0.69791,0.78215,0.62569,0.77529,0.58974,0.64806,0.46849,0.96958,1.67204,0.75723,0.01477,0,0.000161045,0.000161045,0.000161045
64,3156.65,0.89161,1.78003,0.91585,0.00977,0.63013,0.83726,0.70116,0.78773,0.62103,0.73163,0.6002,0.64125,0.44577,0.98575,1.76693,0.82078,0.01506,0,0.000156917,0.000156917,0.000156917
65,3205.93,0.91497,1.71456,0.88015,0.00926,0.58444,0.82713,0.71658,0.79987,0.64346,0.72923,0.61443,0.65639,0.46856,0.9587,1.6855,0.82128,0.01463,0,0.000152789,0.000152789,0.000152789
66,3254.24,0.92279,1.73607,0.87567,0.00988,0.62559,0.83818,0.74503,0.78925,0.62733,0.73981,0.64074,0.64759,0.45082,0.98129,1.68536,0.79953,0.01513,0,0.00014866,0.00014866,0.00014866
67,3299.53,0.89515,1.76123,0.9449,0.00965,0.63203,0.82777,0.72652,0.77261,0.60962,0.72448,0.62595,0.64121,0.4486,1.00188,1.62576,0.85561,0.01574,0,0.000144532,0.000144532,0.000144532
68,3348.3,0.87947,1.71862,0.90231,0.00948,0.61376,0.84051,0.74563,0.7818,0.63118,0.73672,0.64349,0.65365,0.47018,0.93939,1.60986,0.81695,0.01397,0,0.000140404,0.000140404,0.000140404
